ㄧ,一
1.ㄅㄧㄥˋ2.ㄅㄧㄥ,并
ㄋㄧㄢˊ,年
1.ㄍㄢˋ2.ㄏㄢˊ,幹
ㄧㄡˋ,幼
1.ㄐㄧˇ2.ㄐㄧ,幾
ㄧㄢˇ,
ㄐㄧˇ,庋
ㄧㄚˇ,庌
ㄉㄨㄣˋ,庉
ㄉㄧˇ＊˙ㄉㄜ,底
1.ㄉㄨˋ2.ㄉㄨㄛˋ,度
ㄎㄨˋ,庫
ㄒㄧㄠ,庨
ㄧㄡˇ,庮
ㄇㄤˊ,庬
ㄊㄧㄥˊ,庭
ㄎㄤ,康
ㄩㄥ,庸
ㄔㄥ,庱
ㄕㄨˋ,庶
ㄊㄨㄛˇ,庹
1.ㄅㄧˋ2.ㄅㄟ,庳
ㄘㄜˋ,廁
ㄓˋ,廌
ㄒㄧㄚˋ,廈
ㄙㄡ,廋
ㄍㄨㄟ,廆
ㄐㄧㄣˇ,廑
ㄌㄧㄠˋ,廖
ㄑㄧㄥˇ,廎
ㄧˋ,廙
ㄍㄨㄤˇ,廣
ㄑㄧㄣ,廞
ㄨˇ,廡
ㄅㄧˋ,廦
ㄒㄧㄝˋ,廨
ㄆㄤˊ,龐
ㄌㄨˊ,廬
ㄊㄧㄥˊ,廷
1.ㄅㄧㄢˋ2.ㄆㄢˊ,弁
ㄧˋ,异
1.ㄋㄨㄥˋ2.ㄌㄨㄥˋ,弄
ㄈㄣˊ,弅
ㄧㄢˇ,弇
ㄅㄧˋ,弊
ㄕˋ,式
ㄉㄧㄠˋ,弔
ㄧㄣˇ,引
ㄈㄨˊ,弗
ㄔˊ,弛
ㄉㄧˋ＊ㄊㄧˋ,弟
ㄏㄨˊ,弧
ㄑㄩㄢ,弮
ㄓㄤ,張
1.ㄑㄧㄤˊ2.ㄑㄧㄤˇ3.ㄐㄧㄤˋ,強
ㄆㄥˊ,弸
ㄍㄡˋ,彀
ㄅㄧㄝˋ,彆
ㄎㄨㄛˋ,彉
1.ㄉㄢˋ2.ㄊㄢˊ,彈
1.ㄑㄧㄤˊ2.ㄑㄧㄤˇ3.ㄐㄧㄤˋ,彊
ㄇㄧˊ,彌
ㄏㄨㄟˋ,彗
ㄏㄨㄟˋ,彙
ㄆㄥˊ,彭
ㄆㄧㄠ,彯
1.ㄓㄨㄛˊ2.ㄅㄛˊ,彴
1.ㄆㄤˊ2.ㄈㄤˇ,彷
1.ㄉㄞˋ2.ㄉㄞ,待
ㄏㄨㄞˊ,徊
ㄒㄩㄣˋ,徇
1.ㄌㄞˊ2.ㄌㄞˋ,徠
1.ㄉㄜˊ2.ㄉㄟˇ3.˙ㄉㄜ,得
1.ㄘㄨㄥˊ2.ㄗㄨㄥˋ3.ㄘㄨㄥ4.ㄗㄨㄥ,從
ㄆㄞˊ,徘
ㄩˋ,御
ㄅㄧㄢˋ,
ㄐㄧㄚˇ,徦
ㄈㄨˋ,復
ㄆㄤˊ＊ㄅㄤˋ,徬
ㄨㄟˊ,微
ㄒㄧ,徯
1.ㄓㄥ2.ㄓˇ,徵
1.ㄐㄧㄠˋ2.ㄐㄧㄠ＊ㄐㄧㄠˇ,徼
ㄨㄤˋ,忘
ㄕˋ＊ㄊㄞˋ,忕
1.ㄑㄧˋ2.ㄧˋ,忔
1.ㄊㄜˋ2.ㄊㄜ,忒
ㄖㄣˇ,忍
ㄨㄢˊ,忨
ㄋㄧㄡˇ,忸
ㄓˋ,忮
ㄨˇ,忤
ㄑㄧˊ,忯
ㄊㄨㄣˊ,忳
1.ㄓㄨㄥ2.ㄙㄨㄥ,忪
ㄊㄧㄢˇ,忝
ㄈㄨˊ＊ㄅㄟˋ,怫
ㄓㄥ＊ㄌㄥˋ,怔
ㄅㄧㄥˇ,怲
ㄑㄩㄝˋ,怯
ㄔㄨˋ,怵
ㄅㄨˋ,怖
ㄐㄩˋ,怚
ㄉㄚˊ,怛
ㄔㄡˊ,怞
ㄧㄤˋ,怏
ㄓㄢ,怗
ㄊㄨˊ,怢
ㄗㄨㄛˋ,怍
ㄍㄡˋ,怐
ㄆㄚˋ,怕
ㄧㄡ,怮
ㄌㄧㄥˊ＊ㄌㄧㄢˊ,怜
1.ㄙ2.ㄙㄞ,思
ㄉㄞˋ,怠
ㄩㄢˋ,怨
ㄗㄣˇ,怎
ㄋㄨˋ,怒
ㄒㄧㄠˋ,恔
ㄕˋ,恃
ㄓˇ,恉
ㄏㄨㄟ,恢
ㄏㄥˊ,恆
1.ㄊㄨㄥ2.ㄉㄨㄥˋ,恫
ㄊㄧㄠ,恌
ㄔˇ,恀
ㄒㄩㄣˊ,恂
ㄎㄜˋ,恪
ㄗˋ,恣
ㄐㄧㄚˊ,恝
ㄏㄨㄟˋ,恚
ㄎㄨㄥˇ,恐
ㄖㄣˋ＊ㄋㄧㄣˊ,恁
ㄌㄧㄤˋ,悢
ㄊㄧˋ,悌
ㄐㄧㄝˋ,悈
ㄅㄟˋ＊ㄅㄛˊ,悖
ㄙㄨㄥˇ,悚
ㄎㄨㄟ,悝
ㄐㄩㄢˋ,悁
ㄑㄩㄢ,悛
ㄏㄨㄟˇ,悔
ㄇㄢˇ,悗
ㄊㄨˊ,悇
ㄧㄡ,悠
ㄍㄨㄢˇ,悹
ㄎㄨㄥ＊ㄎㄨㄥˇ,悾
ㄉㄨㄣ,惇
ㄘㄨㄟˋ,悴
ㄑㄩㄢˊ,惓
ㄊㄢˊ,惔
ㄔㄨㄛˋ,惙
ㄑㄧ,悽
ㄌㄢˊ,惏
ㄔㄤˇ,惝
ㄔㄡˊ,惆
ㄏㄨㄣ,惛
ㄌㄨㄣˊ,惀
ㄙㄨㄛˇ,惢
1.ㄇㄣˋ2.ㄇㄣ,悶
1.ㄜˋ2.ㄜˇ3.ㄨˋ4.ㄨ,惡
ㄧˋ,意
ㄩㄣˋ,惲
ㄔㄣˊ,愖
ㄕㄤ,愓
ㄒㄧㄥ,惺
ㄎㄞˋ,愒
ㄜˋ,愕
ㄌㄥˋ,愣
ㄓㄨㄟˋ,惴
ㄗㄨㄥ,惾
ㄑㄧㄠˇ,愀
ㄏㄨㄤˊ,惶
ㄩˊ,愉
ㄍㄢˇ,感
ㄔㄡˊ,愁
ㄩˋ,愈
ㄎㄞˇ,慨
1.ㄑㄧㄢˋ2.ㄑㄧㄝˋ,慊
ㄘㄠˇ＊ㄙㄠ,慅
ㄏㄨㄤ,慌
ㄩㄣˋ,慍
ㄎㄞˋ,愾
ㄔㄨㄤˋ,愴
ㄎㄤ,慷
ㄩㄥ,慵
1.ㄘㄨㄥˊ2.ㄗㄠ,慒
ㄆㄧㄠˋ,慓
ㄑㄧㄣˊ,慬
ㄓㄜˊ,慴
ㄌㄧㄠˊ,憀
ㄌㄡˊ,慺
ㄇㄨˋ,慔
ㄘㄢˇ,慘
ㄗㄠˋ,慥
ㄊㄨㄥˋ,慟
ㄑㄧㄥˋ,慶
ㄔㄨㄥ,憃
ㄓˊ,慹
ㄊㄜˋ,慝
ㄒㄧㄢˋ,憲
ㄔㄨㄥ,憧
ㄌㄧㄢˊ,憐
ㄒㄧㄢˊ,憪
ㄊㄢˊ,憛
ㄌㄧㄠˊ,憭
ㄉㄢˋ,憚
ㄎㄨㄟˋ,憒
ㄨˇ,憮
ㄐㄧㄠ,憍
ㄏㄢ,憨
ㄧㄣˋ,憖
ㄅㄧㄝ,憋
ㄅㄟˋ,憊
ㄌㄧㄣˇ,懍
ㄏㄢˋ,憾
ㄘㄠˇ,懆
1.ㄋㄨㄥˊ2.ㄋㄠˊ,
ㄐㄩˋ,懅
ㄒㄩㄢ,懁
ㄒㄧㄝˋ,懈
ㄐㄧㄠˇ,憿
ㄠˋ,懊
ㄒㄧㄢ,憸
1.ㄧㄥ2.ㄧㄥˋ,應
ㄇㄠˋ,懋
ㄐㄧㄥˇ,憼
ㄇㄣˋ,懣
ㄑㄧˊ,懠
ㄋㄨㄛˋ,懦
ㄇㄥˊ,懞
ㄎㄨㄤˇ,懭
ㄧㄡˇ,懮
ㄌㄧㄡˊ,懰
ㄓˋ,懫
ㄌㄢˇ,懶
ㄇㄥˊ,懵
ㄓㄜˊ,懾
ㄏㄨㄢ,懽
ㄧˋ,懿
ㄋㄢˇ,戁
ㄐㄩㄝˊ,戄
1.ㄓㄨㄤˋ2.ㄍㄤˋ,戇
ㄨˋ,戊
ㄨㄛˇ,我
ㄏㄨㄛˋ,或
ㄐㄧㄢ,戔
ㄑㄧㄤˊ,戕
ㄑㄧ,戚
ㄎㄨㄟˊ,戣
ㄎㄢ,戡
ㄑㄧㄤˋ,戧
ㄧㄣˇ,戭
ㄌㄨˋ,戮
1.ㄒㄧˋ2.ㄏㄨ＊ㄏㄨㄟ,戲
ㄏㄨˋ,戽
ㄈㄤˊ,房
ㄌㄧˋ,戾
ㄐㄩㄥ,扃
1.ㄅㄧㄢˇ2.ㄆㄧㄢ,扁
ㄧˇ,扆
1.ㄕㄢˋ2.ㄕㄢ,扇
1.ㄓㄚˊ2.ㄓㄚ,扎
ㄉㄚˇ,打
ㄌㄜˋ,扐
ㄖㄥ,扔
1.ㄅㄚ2.ㄆㄚˊ,扒
ㄏㄢˋ,扞
ㄩ,扜
1.ㄍㄤ2.ㄎㄤˊ,扛
ㄧˇ,扡
ㄨˋ,扤
1.ㄔㄚ2.ㄓㄚˇ,扠
ㄎㄡˋ,扣
1.ㄒㄧˋ2.ㄍㄨˇ,扢
ㄔㄥˊ,承
ㄓㄣˇ,抌
ㄨㄣˋ,抆
ㄈㄨˊ＊ㄆㄨˊ,扶
ㄋㄧㄡˇ,扭
1.ㄅㄚˇ2.ㄅㄚˋ,把
ㄆㄧ,批
ㄓㄠˇ,找
ㄅㄢ,扳
ㄍㄨˇ,抇
ㄒㄧ,扱
ㄊㄡˊ,投
1.ㄓㄜˊ2.ㄕㄜˊ3.ㄓㄜ,折
1.ㄓㄨㄚ2.ㄔㄨㄚˇ,抓
ㄅㄢˋ,扮
ㄧㄠˇ,抭
ㄌㄚ,拉
ㄅㄢˋ,拌
ㄆㄥ,抨
ㄇㄧㄣˇ,抿
ㄈㄨˊ＊ㄅㄧˋ,拂
1.ㄇㄛˇ2.ㄇㄛˋ,抹
ㄐㄩˋ,拒
ㄑㄧㄝˋ,抾
ㄧㄝˋ,抴
ㄓㄠ,招
1.ㄊㄨㄛˋ2.ㄊㄚˋ＊ㄓˊ,拓
ㄆㄠ,拋
ㄆㄧ,披
ㄅㄚˊ,拔
ㄇㄨˇ,拇
ㄧㄚ,押
ㄋㄧㄢˊ＊ㄋㄧㄢˇ,拈
ㄓㄨㄛˊ,拙
ㄆㄢˋ,拚
ㄅㄠˋ,抱
ㄊㄨㄛ,拖
ㄐㄩ,拘
ㄆㄞ,拍
ㄉㄧˇ＊ㄓˇ,抵
1.ㄠˋ2.ㄋㄧㄡˋ3.ㄠˇ,拗
ㄔㄞ,拆
ㄓㄣˇ,抮
ㄑㄧㄝˋ,挈
ㄍㄨㄥˇ,拲
ㄨㄚ,挖
1.ㄊㄧㄠ2.ㄊㄧㄠˇ,挑
ㄍㄨㄚˋ,挂
ㄐㄧㄝˊ,拮
ㄓˇ,指
ㄓㄨㄞˋ,拽
ㄊㄨㄥˊ,挏
ㄔˇ,拸
1.ㄍㄨㄚ2.ㄎㄨㄛˋ,括
ㄍㄜˊ,挌
1.ㄗㄚˊ2.ㄗㄢˇ,拶
ㄕㄨㄢ,拴
1.ㄕˊ2.ㄕㄜˋ,拾
ㄖㄨˊ＊ㄋㄚˊ,挐
ㄆㄧㄣ,拼
ㄨㄢˊ,捖
ㄙㄨㄛ,挲
ㄕㄨㄟˋ＊ㄊㄨㄛ,挩
ㄑㄧㄡˊ＊ㄐㄧㄡˋ,捄
ㄅㄨˇ,捕
ㄨˇ,捂
ㄒㄧㄚˊ,挾
ㄓㄣˋ,振
1.ㄕㄠ2.ㄕㄠˋ,捎
ㄏㄢˋ,捍
ㄐㄩㄢ,捐
ㄅㄚ,捌
1.ㄌㄜˋ2.ㄌㄩˇ3.ㄌㄨㄛ,捋
ㄆㄡˊ,捊
ㄖㄨㄛˊ,挼
ㄘㄨㄛˋ,挫
ㄞ,挨
ㄐㄩㄣˋ,捘
ㄐㄧㄠˇ,捁
ㄊㄧㄥˇ,挺
ㄐㄩㄝˊ,捔
ㄑㄧㄢ,掔
ㄨㄢˋ,捥
ㄎㄨㄥˋ,控
1.ㄆㄡˊ2.ㄆㄡˇ,掊
ㄐㄧㄝ,接
ㄌㄧㄝˋ,捩
ㄌㄩㄝˋ,掠
ㄗㄨˊ,捽
ㄊㄢˋ,探
1.ㄧㄝˋ2.ㄧㄝ,掖
ㄐㄩㄢˇ,捲
ㄧㄢˋ,掞
ㄉㄨㄛˊ,掇
1.ㄙㄠˇ2.ㄙㄠˋ,掃
ㄐㄧㄝˊ,捷
ㄆㄥˇ,捧
ㄐㄩ＊ㄐㄩˋ,据
ㄐㄩㄝˊ,掘
ㄗㄡ,掫
ㄏㄨㄛˋ,掝
1.ㄧㄚˋ2.ㄧㄚˇ,掗
ㄘㄨㄛˋ,措
ㄧㄢˇ,掩
ㄔㄣ,捵
ㄉㄧㄠˋ,掉
1.ㄓㄥ2.ㄓㄥˋ,掙
1.ㄆㄞˊ2.ㄆㄞˇ,排
ㄖㄨㄛˊ,捼
ㄊㄠ,掏
ㄊㄨㄟ,推
ㄋㄧˇ,掜
ㄅㄞˇ,捭
ㄋㄧㄢˇ＊ㄋㄧㄝ,捻
1.ㄌㄨㄣˊ2.ㄌㄨㄣ,掄
ㄔㄜˋ,掣
ㄊㄧˋ,揥
ㄏㄨㄟ,揮
ㄍㄥˋ,揯
ㄐㄧㄢˇ,揃
ㄖㄡˊ,揉
ㄎㄨㄟˊ,揆
1.ㄑㄧㄢˊ2.ㄐㄧㄢˋ,揵
ㄒㄧㄝ,揳
ㄒㄩ,揟
ㄕㄜˊ,揲
ㄎㄞ,揩
1.ㄊㄧˊ2.ㄕˊ,提
ㄧ＊ㄐㄧˊ,揖
1.ㄐㄧㄝ2.ㄑㄧˋ,揭
ㄩㄢˋ,掾
ㄔㄨㄞˇ,揣
ㄩㄢˊ,援
ㄗㄨㄢˋ,揝
ㄏㄨㄤˊ,揘
ㄩˊ,揄
ㄧㄢˇ,揜
ㄒㄧㄠ,揱
ㄐㄧㄡ,揫
ㄍㄞˋ,摡
ㄏㄨㄟ,撝
ㄑㄧㄢ,搴
ㄏㄨㄚˊ,搳
ㄅㄥˋ＊ㄅㄤˇ,搒
ㄕㄢ,搧
ㄍㄠˇ,搞
ㄑㄩㄝˋ,搉
ㄔㄨˋ,搐
ㄋㄨㄛˋ,搦
ㄓㄢˇ,搌
ㄅㄛˊ,搏
ㄍㄜˊ,搹
ㄐㄧㄣˋ,搢
ㄌㄚ,搚
ㄙㄠ,搔
ㄏㄨˊ,搰
ㄉㄚ,搭
ㄔㄚˊ,搽
ㄨㄣˋ,搵
ㄧㄠˊ,搖
ㄔㄡ,搊
ㄔㄨㄟˊ,搥
ㄙㄡ,搜
ㄔㄨㄞ,搋
1.ㄑㄧㄤˇ2.ㄑㄧㄤ,搶
ㄇㄛˊ,摩
ㄓㄞ,摘
ㄔ,摛
ㄌㄨˋ,摝
ㄕㄨ,摴
ㄕㄢˋ,摲
ㄊㄨㄢˊ,摶
1.ㄅㄧㄠ2.ㄆㄧㄠˇ3.ㄅㄧㄠˋ,摽
ㄕㄜˋ,摵
ㄓㄜˊ,摺
ㄐㄧㄡ,摎
1.ㄌㄡˊ2.ㄌㄡ3.ㄌㄡˇ,摟
ㄌㄨㄛˋ,摞
ㄇㄛ,摸
ㄘㄨㄟ,摧
ㄕㄚ,摋
1.ㄔㄢ2.ㄘㄢˋ3.ㄕㄢˇ,摻
ㄔㄨㄤ,摐
ㄇㄛˊ,摹
1.ㄆㄧㄝ2.ㄆㄧㄝˇ,撇
ㄔㄜˋ,撤
ㄓㄨㄤˋ,撞
1.ㄌㄠ2.ㄌㄠˊ,撈
ㄅㄛ,撥
1.ㄓㄥˇ2.ㄔㄥˊ,撜
ㄒㄩㄣˊ,撏
ㄓㄨㄢˋ,撰
ㄋㄠˊ,撓
ㄍㄢˇ,撖
ㄉㄢˇ＊ㄊㄢˋ,撢
1.ㄙ2.ㄒㄧ,撕
ㄍㄨㄤˋ,撗
1.ㄙㄚ2.ㄙㄚˇ,撒
ㄐㄩㄝ,撅
ㄌㄧㄠˊ,撩
ㄘㄨㄛˋ,撮
1.ㄉㄢˇ2.ㄕㄢˋ,撣
ㄆㄨ,撲
ㄅㄛˋ,播
ㄑㄧㄠˋ,撬
ㄈㄨˇ,撫
ㄐㄧㄠˇ,撟
ㄅㄛˋ,擘
ㄐㄧˊ,擊
ㄩㄥˇ,擁
ㄌㄟˊ,擂
1.ㄉㄤˋ2.ㄉㄤˇ,擋
ㄘㄠ,操
ㄐㄩˋ,據
ㄌㄨˇ,擄
ㄍㄜˊ,擖
ㄑㄧㄥˊ,擏
ㄗㄜˊ,擇
ㄏㄨㄢˋ,擐
ㄔㄨˋ,擉
1.ㄉㄢ2.ㄉㄢˋ,擔
ㄐㄧㄢˇ,撿
1.ㄋㄧㄥˇ2.ㄋㄧㄥˋ,擰
ㄐㄧˇ,擠
ㄖㄨˋ,擩
ㄏㄨㄛˋ,擭
ㄊㄧˋ＊ㄓˊ,擿
ㄓˊ,擲
ㄐㄧㄝˊ,擷
ㄙㄡˇ,擻
ㄕㄨ,攄
ㄌㄩㄝˋ,擽
ㄌㄚˋ,擸
ㄌㄨㄥˇ,攏
ㄏㄨㄛˋ,攉
ㄏㄢˋ,攌
ㄖㄤˊ,攘
ㄒㄧㄢ,攕
ㄔㄢ,攙
ㄘㄨㄢ,攛
1.ㄕㄜˋ2.ㄋㄧㄝˋ,攝
ㄒㄧ,攜
ㄌㄨㄢˊ,攣
ㄌㄧˊ,攡
ㄇㄧˊ,攠
1.ㄗㄢˇ2.ㄘㄨㄢˊ,攢
ㄊㄤˇ,攩
ㄐㄧㄠˇ＊ㄍㄠˇ,攪
ㄆㄨ,
ㄕㄡ,收
ㄧㄡ,攸
1.ㄈㄤˋ2.ㄈㄤˇ,放
ㄅㄧㄣ＊ㄅㄢ,攽
ㄓㄥˋ,政
ㄠˊ＊ㄠˋ,敖
1.ㄐㄧㄠˋ2.ㄐㄧㄠ,教
1.ㄉㄨㄣ2.ㄉㄨㄟˋ,敦
1.ㄙㄢˋ2.ㄙㄢˇ,散
ㄎㄜˇ,敤
ㄑㄩ＊ㄡ,敺
1.ㄓㄣˋ2.ㄔㄣˊ,敶
1.ㄕㄨˋ2.ㄕㄨˇ3.ㄕㄨㄛˋ4.ㄘㄨˋ5.ㄙㄨˋ,數
1.ㄧˋ2.ㄉㄨˋ,斁
ㄌㄧㄢˋ,斂
ㄊㄞ,斄
1.ㄨㄣˊ2.ㄨㄣˋ,文
ㄈㄟˇ,斐
ㄉㄡˇ,斗
ㄌㄧㄠˋ,料
1.ㄒㄧㄝˊ2.ㄧㄝˊ,斜
ㄨㄛˋ,斡
ㄐㄧㄣ,斤
ㄔˋ,斥
ㄉㄨㄢˋ,斷
ㄈㄤ＊ㄆㄤˊ,方
1.ㄩˊ2.ㄨ,於
ㄧㄡˊ,斿
1.ㄕ2.ㄧˋ,施
ㄆㄤˊ＊ㄅㄤˋ,旁
ㄇㄠˊ＊ㄇㄠˋ,旄
ㄋㄧˇ,旎
1.ㄒㄩㄢˊ2.ㄒㄩㄢˋ,旋
ㄗㄨˊ,族
ㄧˇ,旖
ㄈㄢ,旛
ㄎㄨㄞˋ,旝
1.ㄖˋ2.ㄇㄧˋ,日
ㄒㄩㄣˊ,旬
1.ㄍㄢˋ2.ㄏㄢˋ,旰
ㄒㄧˊ,昔
1.ㄎㄨㄣ2.ㄏㄨㄣˊ,昆
ㄏㄨ,昒
ㄧˋ,易
ㄒㄧㄣ,昕
ㄏㄨㄣ,昏
ㄔㄤˇ,昶
ㄔㄨㄣ,春
ㄇㄟˋ,昧
ㄋㄧˋ,昵
ㄕˋ,是
ㄆㄟˋ,昢
1.ㄉㄧㄝˊ2.ㄧˋ,昳
ㄒㄩˇ,昫
ㄧㄢˋ,晏
ㄒㄩㄢ,晅
1.ㄏㄨㄤˇ2.ㄏㄨㄤˋ,晃
ㄔㄠˊ＊ㄓㄠ,晁
ㄔㄥˊ,晟
ㄓㄜˊ,晢
ㄏㄨㄢˇ,晥
ㄒㄧㄢˋ,晛
ㄐㄩㄣˋ,晙
ㄐㄧㄥˇ＊ㄧㄥˇ,景
ㄧㄢˇ,晻
ㄇㄧㄣˇ,暋
1.ㄩㄣ2.ㄩㄣˋ,暈
ㄒㄧㄚˊ,暇
ㄏㄜˋ,暍
1.ㄋㄨㄢˇ2.ㄒㄩㄢ,暖
ㄇㄧㄥˊ,暝
ㄓㄢˋ,暫
ㄏㄢˋ,暵
1.ㄅㄠˋ2.ㄆㄨˋ,暴
ㄊㄨㄥˊ,曈
ㄧˋ,曀
ㄕㄚˋ,
ㄒㄧㄤˋ,曏
ㄧㄠˋ,曜
ㄆㄨˋ,曝
ㄧˋ,曳
1.ㄑㄩ2.ㄑㄩˇ,曲
1.ㄍㄥ2.ㄍㄥˋ,更
ㄏㄜˊ,曷
1.ㄗㄥ2.ㄘㄥˊ,曾
ㄘㄢˇ,朁
1.ㄏㄨㄟˋ2.ㄎㄨㄞˋ3.ㄍㄨㄟˋ4.ㄏㄨㄟˇ,會
1.ㄧㄡˇ2.ㄧㄡˋ,有
ㄈㄨˊ,服
ㄈㄟˇ,朏
ㄊㄧㄠˋ,朓
ㄨㄤˋ,望
1.ㄓㄠ2.ㄔㄠˊ,朝
1.ㄑㄧˊ2.ㄐㄧ,期
1.ㄉㄨㄣˇ2.ㄋㄧㄝˋ,
ㄓㄨˊ,朮
ㄊㄧㄥ,朾
1.ㄆㄛˋ2.ㄆㄨˊ3.ㄆㄧㄠˊ,朴
ㄑㄧㄡˊ,朹
ㄐㄧ,机
ㄓㄨ,朱
ㄍㄢ,杆
ㄩˊ,杅
ㄑㄧˇ,杞
ㄍㄤ＊ㄍㄤˋ,杠
ㄧˊ＊ㄉㄨㄛˋ,杝
ㄉㄧˋ,杕
ㄔㄚ,杈
1.ㄅㄧㄠ2.ㄕㄠˊ,杓
ㄕㄢ,杉
ㄓㄨˇ,枓
ㄏㄤˊ,杭
ㄈㄤ,枋
1.ㄓㄣˇ2.ㄓㄣˋ,枕
ㄓㄨˋ,杼
ㄨㄤˇ,枉
ㄩㄢˊ,杬
1.ㄋㄧㄡˇ2.ㄔㄡˇ,杻
ㄆㄚˊ,杷
ㄓ＊ㄑㄧˊ,枝
ㄆㄧˊ＊ㄅㄧˋ,枇
ㄧㄚˊ,枒
ㄖㄨㄟˋ,枘
ㄧㄠˇ,杳
ㄍㄠˇ,杲
ㄍㄨㄛˇ,果
1.ㄇㄡˇ2.ㄇㄟˊ,某
ㄊㄨㄛˊ＊ㄉㄨㄛˋ,柁
ㄓㄨˋ,柱
ㄅㄧˋ,柲
ㄆㄧㄥˊ,枰
ㄋㄧˇ,柅
1.ㄐㄩˇ2.ㄍㄨㄟˋ,柜
ㄎㄜ,柯
ㄅㄧㄥˇ,柄
ㄍㄢ,柑
ㄐㄧㄚ,枷
ㄓㄚ,柤
ㄒㄧㄚˊ,柙
ㄧㄡˋ,柚
ㄓˇ,枳
ㄓㄨˋ,柷
ㄧㄤ,柍
ㄓㄚˋ,柵
ㄈㄨˊ,枹
ㄧˊ＊ㄉㄨㄛˋ,柂
1.ㄓˊ2.ㄉㄧㄝˊ,柣
1.ㄗㄨㄛˋ2.ㄗㄜˊ,柞
1.ㄍㄡˇ2.ㄐㄩˇ3.ㄍㄡ,枸
ㄅㄛˊ,柏
1.ㄈㄨ2.ㄈㄨˇ,柎
ㄉㄧˇ,柢
1.ㄔㄚˊ2.ㄓㄚ,查
ㄔㄞˊ＊ㄓㄞˋ,柴
ㄑㄧˋ,栔
ㄗㄞ,栽
ㄌㄧˋ,栗
1.ㄒㄧㄠˋ2.ㄐㄧㄠˋ,校
ㄏㄜˊ,核
ㄧˊ,桋
ㄕˋ,栻
1.ㄐㄧㄝˊ2.ㄐㄩˊ,桔
ㄒㄧ＊ㄑㄧ,栖
ㄎㄠˇ,栲
ㄌㄧˋ,栵
1.ㄩˋ2.ㄧㄡˇ,栯
ㄐㄧㄢˋ,栫
ㄒㄩˇ,栩
1.ㄍㄨㄤ2.ㄍㄨㄤˋ,桄
ㄊㄨㄥˊ,桐
ㄧˊ,栘
ㄨㄟˊ,桅
ㄒㄩㄣˊ,栒
ㄍㄨㄚ,栝
ㄍㄜˊ,格
1.ㄏㄥˊ2.ㄏㄤˊ,桁
1.ㄎㄨㄢˇ2.ㄏㄨㄢˊ,梡
ㄓㄨㄛˊ,梲
ㄊㄨㄥˇ,桶
ㄑㄧㄣ,梫
ㄒㄧㄝˋ,械
ㄑㄧㄡˊ,梂
ㄨˊ,梧
ㄅㄧˋ,梐
ㄈㄢˋ,梵
ㄐㄧㄚˊ,梜
ㄕㄠ,梢
ㄍㄢˇ,桿
ㄌㄧˊ,梩
ㄧㄥˇ,梬
ㄎㄨㄣˇ,梱
ㄊㄧㄥ,桯
ㄈㄨˊ,桴
ㄙㄨㄛ,梭
ㄍㄨˋ,梏
ㄒㄧㄠ,梟
ㄊㄧㄠˊ,條
ㄐㄧˊ,楖
ㄗㄡ,棸
ㄐㄧˊ,棘
ㄍㄨㄢ,棺
ㄑㄧㄤ,椌
ㄆㄡˇ,棓
ㄐㄧㄝ,椄
ㄑㄩㄢ,棬
ㄑㄧ＊ㄒㄧ,棲
ㄉㄧˋ,棣
ㄐㄩ,椐
ㄗㄡ,棷
ㄧㄚ,椏
ㄌㄥˊ,棱
ㄓˊ,植
ㄑㄧˊ,棋
ㄓㄢˋ,棧
ㄕㄣ,棽
ㄈㄣˊ,棼
ㄧˇ,椅
ㄍㄨㄣˋ,棍
ㄎㄜ,棵
ㄓㄠˋ＊ㄓㄨㄛ,棹
ㄘㄞˇ,棌
ㄓㄨㄟ,椎
1.ㄆㄧˊ2.ㄅㄟ,椑
ㄖㄣˇ,棯
ㄌㄨㄣˊ,棆
ㄏㄨㄣˊ,楎
ㄆㄧㄢˊ,楄
ㄧˊ,椸
ㄧㄡˊ,楢
ㄐㄧㄢˋ,楗
ㄒㄧㄝ,楔
ㄐㄧㄚˇ,椵
ㄅㄧˋ,楅
ㄔㄨˇ,楮
ㄓㄣ,椹
ㄧㄝˋ,楪
ㄎㄞˇ,楷
ㄓㄚ,楂
ㄐㄧˊ,楫
1.ㄐㄧㄝˊ2.ㄑㄧㄚˋ,楬
ㄨㄟ,椳
ㄓㄣ,楨
1.ㄏㄨˋ2.ㄎㄨˇ,楛
ㄌㄥˊ＊ㄌㄥˋ,楞
ㄒㄩㄢˋ,楥
ㄔㄨㄢˊ,椽
ㄩˇ,楀
ㄆㄧㄢˊ,楩
ㄕㄨㄣˇ,楯
ㄧㄝˋ,業
ㄖㄨㄥˊ,榮
ㄍㄨˇ,穀
1.ㄍㄢˋ2.ㄏㄢˊ,榦
1.ㄅㄤˇ2.ㄅㄥˋ,榜
ㄇㄧㄥˊ,榠
ㄘㄨㄟ,榱
ㄑㄩㄝˋ,榷
ㄔㄚˊ,槎
ㄉㄚˊ,榙
ㄑㄧ,榿
ㄊㄠ,槄
ㄒㄧˊ,榽
ㄔㄨㄟˊ,槌
ㄏㄨㄞˊ,槐
1.ㄑㄧㄤ2.ㄔㄥ,槍
ㄑㄧㄢˋ,槧
ㄋㄧㄝˋ,槷
1.ㄉㄧˊ2.ㄓㄜˊ,樀
ㄧㄤˋ,樣
ㄕㄨ,樗
ㄏㄨㄟˋ,槥
ㄓㄨㄤ,樁
