ㄧ,一
ㄊㄞˊ,儓
ㄋㄧˇ,儗
ㄢˋ,儑
ㄩˋ,儥
ㄧㄡ,優
ㄔㄨˊ,儲
ㄔㄢˊ,儳
ㄌㄟˇ,儽
ㄩㄣˇ,允
ㄒㄩㄥ,兄
ㄒㄧㄢ,先
1.ㄉㄨㄟˋ2.ㄩㄝˋ,兌
ㄇㄧㄢˇ＊ㄨㄣˋ,免
1.ㄦˊ2.ㄋㄧˊ,兒
ㄖㄨˋ,入
ㄋㄟˋ＊ㄋㄚˋ,內
ㄌㄧㄤˇ＊ㄌㄧㄤˋ,兩
ㄅㄚ,八
1.ㄌㄧㄡˋ2.ㄌㄨˋ,六
1.ㄍㄨㄥˋ2.ㄍㄨㄥ＊ㄍㄨㄥˇ,共
1.ㄑㄧˊ2.ㄐㄧ,其
ㄘㄜˋ,冊
1.ㄇㄠˋ2.ㄇㄛˋ,冒
ㄧㄣˊ,冘
1.ㄍㄨㄢ2.ㄍㄨㄢˋ,冠
1.ㄐㄩˋ2.ㄗㄨㄟˋ,
ㄅㄧㄥ,冰
ㄌㄥˇ,冷
ㄔㄨㄤˋ,凔
ㄎㄢˇ,凵
ㄠ,凹
ㄊㄨˊ,凸
ㄏㄢˊ,函
1.ㄑㄧㄝˋ2.ㄑㄧㄝ,切
1.ㄈㄣ2.ㄈㄣˋ,分
1.ㄆㄠˊ2.ㄅㄠˋ,刨
ㄎㄜˋ,刻
ㄕㄨㄚ,刷
ㄘˋ,刺
ㄍㄨㄚ,刮
1.ㄌㄚˋ2.ㄌㄚˊ,剌
1.ㄒㄩㄝˋ2.ㄒㄧㄠ,削
ㄆㄡˇ,剖
ㄑㄧㄥˊ＊ㄌㄩㄝˋ,
1.ㄧㄢˇ2.ㄕㄢˋ,剡
ㄔㄢˇ,
ㄊㄧ,剔
ㄅㄛ＊ㄅㄛˊ,剝
1.ㄈㄨˋ2.ㄆㄧˋ,副
ㄉㄨㄢ＊ㄊㄨㄢˊ,剬
ㄎㄞˇ,剴
1.ㄔㄨㄤˋ2.ㄔㄨㄤ,創
ㄊㄨㄢˊ,剸
ㄆㄧㄠˋ,剽
ㄐㄧㄠˇ,剿
1.ㄏㄨㄚˋ2.ㄏㄨㄚˊ,劃
ㄆㄧ,劈
ㄐㄩˋ,劇
ㄎㄨㄞˋ,劊
ㄌㄧˊ,劙
ㄐㄧㄥˋ,勁
ㄌㄞˋ＊ㄔˋ,
ㄨˋ,務
ㄎㄢ,勘
1.ㄌㄜˋ2.ㄌㄟ,勒
1.ㄌㄠˊ2.ㄌㄠˋ,勞
1.ㄕㄥˋ2.ㄕㄥ,勝
ㄇㄨˋ,募
1.ㄐㄧㄠˇ2.ㄔㄠ,勦
ㄖㄤˊ,勷
1.ㄕㄠˊ2.ㄓㄨㄛˊ,勺
1.ㄍㄡ2.ㄍㄡˋ,勾
ㄅㄠ,包
1.ㄏㄨㄚˋ2.ㄏㄨㄚ,化
ㄅㄟˇ＊ㄅㄟˋ,北
1.ㄔˊ2.˙ㄕ,匙
ㄎㄨㄤ,匡
ㄈㄟˇ,匪
ㄎㄨㄟˋ,匱
1.ㄆㄧˇ2.ㄆㄧ,匹
ㄧㄢˇ,匽
1.ㄑㄩ2.ㄡ,區
ㄋㄧˋ＊ㄊㄜˋ,匿
1.ㄨˇ2.˙ㄏㄨㄛ,午
ㄅㄢˋ,半
1.ㄗㄨˊ2.ㄘㄨˋ,卒
ㄓㄨㄛˊ,卓
1.ㄋㄢˊ2.ㄋㄚˊ,南
1.ㄎㄚˇ2.ㄑㄧㄚˇ,卡
1.ㄓㄢ2.ㄓㄢˋ,占
ㄤˊ＊ㄧㄤˇ,卬
ㄌㄨㄢˇ,卵
1.ㄐㄩㄢˋ2.ㄐㄩㄢˇ3.ㄑㄩㄢˊ,卷
1.ㄏㄢˇ2.ㄢ,厂
ㄇㄤˊ,厖
1.ㄌㄧˊ2.ㄔㄢˊ,厘
ㄩㄢˊ＊ㄩㄢˋ,原
ㄔㄨㄟˊ,厜
1.ㄧㄢˋ2.ㄧㄢ,厭
ㄌㄧˋ＊ㄌㄞˋ,厲
1.ㄖㄡˊ2.ㄑㄧㄡˊ,厹
ㄑㄩˋ,去
1.ㄘㄢ2.ㄕㄣ3.ㄘㄣ＊ㄙㄢ,參
ㄔㄚ,叉
ㄈㄢˇ,反
ㄑㄩˇ,取
ㄙㄡˇ,叟
ㄘㄨㄥˊ,叢
ㄙ,司
1.ㄎㄜˇ2.ㄎㄜˋ,可
1.ㄓㄠˋ2.ㄕㄠˋ,召
1.ㄊㄠ2.ㄉㄠ,叨
ㄓˇ＊ㄓ,只
1.ㄊㄞˊ2.ㄧˊ,台
1.ㄐㄩˋ2.ㄍㄡˋ3.ㄍㄡ＊ㄍㄡ,句
1.ㄊㄨˇ2.ㄊㄨˋ,吐
1.ㄔ2.ㄐㄧˊ,吃
1.ㄍㄜˋ2.ㄍㄜˇ,各
1.ㄏㄜˊ2.ㄍㄜˇ,合
ㄨˊ,吾
1.ㄈㄡˇ2.ㄆㄧˇ,否
1.ㄏㄤˊ2.ㄎㄥ,吭
1.ㄅㄚ2.˙ㄅㄚ,吧
ㄓ,吱
1.ㄧㄚ2.˙ㄧㄚ3.ㄒㄧㄚ,呀
ㄉㄞ,呆
ㄋㄚˋ,吶
1.ㄏㄨㄥ2.ㄏㄡˇ,吽
ㄔㄥˊ,呈
ㄔㄨㄟ,吹
1.ㄊㄧㄥ2.ㄊㄧㄥˋ3.ㄧㄣˇ,听
ㄧㄣˊ,吟
1.ㄍㄠˋ2.ㄍㄨˋ,告
ㄏㄢˊ,含
1.ㄅㄧㄝˊ2.ㄅㄧ,咇
ㄨㄟˋ,味
1.ㄋㄧˊ2.˙ㄋㄜ,呢
1.ㄏㄜ2.ㄛ,呵
ㄍㄨ,咕
ㄍㄢ,咁
ㄎㄚ,咖
ㄒㄧㄠ,呺
1.ㄓㄢ2.ㄔㄜˋ,呫
ㄉㄨㄛˋ,咄
ㄏㄨ,呼
ㄗㄜˊ,咋
1.ㄒㄩˇ2.ㄏㄡ,呴
1.ㄍㄨ2.ㄍㄨㄚ,呱
1.ㄏㄜˊ2.ㄏㄜˋ3.ㄏㄨㄛˋ4.ㄏㄢˋ5.˙ㄏㄨㄛ6.ㄏㄨˊ,和
1.ㄐㄧㄡˋ2.ㄍㄠ,咎
ㄇㄧㄥˋ,命
ㄒㄧㄢˊ,咸
1.ㄎㄜˊ2.ㄏㄞ,咳
ㄍㄣˊ,哏
ㄨㄚ,哇
1.ㄏㄨㄥ2.ㄏㄨㄥˇ,哄
1.ㄒㄧˋ2.ㄉㄧㄝˊ,咥
ㄌㄧㄝˇ,咧
